BUSINESS_NAME,RATING,REVIEW_TEXT
Hard Rock Cafe,5,"food taste great, good prices"
Papa John's Pizza,4,"its a nice cafe, and the food was delicious. the price was crazy high, even for the south end. a small breakfast sandwich with swapping bacon for avocado was almost 11. service was pretty slow, and they messed up an order ahead of me in multiple ways. might have just been a bad day, but overall i docked a couple stars for price and service."
Maxs Deli Cafe,3,translated by google best in bostonoriginallo mejor en boston
"Happy Lamb Hot Pot, Boston 快乐小羊",1,highly acclaimed but only so so in flavor. definitely had better before. didnt use that much of the expensive ingredients.
McGreevy's Boston,2,very familiar place
The Friendly Toast Restaurant,4,fresh gnocchi. with peas and mushrooms....
The Elephant Walk,4,the best crab in the world
Taiyaki NYC - Boston,5,great food and decent beer choices!
Ba Lẹ Restaurant,5,"amazing place, one of the nicest places in the north end."
Mela Indian Restaurant,5,waitstaff was busy with other things
Blue Dragon,5,gooey cheesy portion of nachos with chicken... drink and burger was okay...service was sadly just okay too. nice bathroom but could have been cleaner...
Summer Shack,5,tiny simple place but the food is excellent. scallion pancakes are the best in town here. owner is so friendly but not always in town.
Crispy Dough Pizzeria,3,"never going back there ag again,service was not good and that was my first and only time"
Bhop - Boston House of Pizza,5,"this eastablishment is adjacent to my place of employment.  the food is good, but the menu will grow old rather quickly.however where this place shines is the staff.  each and every one of the employees here is helpful, friendly and quite skilled at delivering top notch service.you might grow tired of the selection over time, but a restaurant can be more than its menu sometimes."
Juice Press,4,good but everyone has had better. pizza sauce taste like chef boyardee pizza sauce if it exist
Cinquecento,5,"top notch peruvian food.  just as good, if not better than los andes in providence.  had to wait 25 minutes to get seated since the place was packed on a sunday afternoon, but well worth it "
Tremont 647,5,translated by google yummmmmmoriginalyummmmmm
Santouka Back Bay,5,not a huge 99 fan but they have the most delicioustender steak tips i have ever had. its a must try ......
Pauli's,5,"food is good, but prices are high"
Locale,5,overall a very good steak house. the aged prime ny  was good to very good. not great. thought it was too heavy on the char. i asked for medium rare but it was probably cooked closer to medium. the sides were generous and delicious. services was  impeccable.
The Horse Allston,1,live the outdoor sitting!!
Tremont 647,5,best freshly made pasta in boston
Starbucks,2,great food with soul
High Spot Deli,5,"quick, quality bites in back bay, just skip the cocktails.  not too overpriced for the area and the menu is pretty consistently delivered.  the burger is definitely something youll have to try  even at 23!service is always friendly and they do a great job with allergies of all kinds."
Il Molo,5,"do not mobile orderit doesnt work. theyll lose the order, find it, then tell you that you havent paid yet. i just checked my bank account. they double charged me. if you must, just get in line with all the bums."
Labaredas Brazilian BBQ & Bar,5,better ingredients than the chain restaurants. gets busy at times.
Franco's Trattoria,4,good fresh food however the prices are very steep for dinner..  cant afford to go here too often 2 regular dinner special meals and a rice was over 30
Pollo Campero,4,"short ribs are fantastic, tuna bowl was good, kids pizza kept the grandson happy, burger was just okay. social distancing followed, bathrooms were clean, service was adequate. prices are on the higher side for some items. not my favorite place but my wife likes it."
Hot Eastern,1,"i bring customers to pastoral for lunch a decent amount. the reason i gave 4 stars is simply because the menu is kind of limited. its definitely a good size for a lunch menu, and maybe its just me and my customers, but it ends up being we either get a pizza or one or two of the same sandwiches over and over. service is always attentive, they have a great drink selection, and were always happy with the food we get!"
Little River Inn,4,there chicken is bomb
Hong Kong Harbor,5,agua fresca is exactly what i needed on this hot day.
Five Horses Tavern - South End,4,"dry food. good burger. every time i go, the prices are higher and the food is smaller. capitalismisthedeathoftheu.s."
Osteria Peppino Pizzeria,5,very good food and customer service
Hong Kong Harbor,5,one of the better hibachi restaurants in the area. the chiefs are understanding of little kids and how they can be nervous of flames. decent prices and large portions for the price.
Tuscan Kitchen,2,i love this place! they have a good selection of baked goods and also serve warm plates as well. staff here are very friendly and willing to help customers on the menu. love this neighborhood. its very beautiful especially during the fall.
Cósmica,5,"great food, good service."
Sip Wine Bar and Kitchen,1,linguinis has the best pizza in the area. they offer both the traditional circle pizza and sicilian. they also have meatballs that are the size of softballs. it is a family run small business which i like supporting as well.
Cornwall's,4,"put your name on the list first... then go for a 1.5 to 2 hr walk around the neighborhood... if luck is with you they will have seats available when you get back... nothing to brag about on the food, it is ok... try saltie girl in backbay"
La Famiglia Giorgio's Restaurant,4,"the food was out of this world. everyone was very pleasant. great place to go, anytime day or night."
Ali Baba Restaurant Boston,5,"typical tourist restaurant. was ok, nothing special."
Nico Ristorante,5,exceptionally slow. took almost 30 min to get my food and the line was constantly it the door.
Montecristo Mexican Grill,5,"absolutely amazing. food, service, environment.  had a wonderful time."
Red Lantern Restaurant & Lounge,2,"placed an order and driver called to say he was downstairs. go downstairs no driver in sight. i wait and somebody walks up to me and asks if i ordered something. the driver gave my food to the wrong person!!! when i called cafe podima to complain the rude person asks what he can do for me. i asked if they were okay with their driver not doing his job correctly and he says you got your food right? never again. if it was not for your customers you would not be in business, show some appreciation. no apologies...nothing.never again!!!!!!"
Charlestown Cafe,4,they take a little long to give your food but the its worth the wait cause the food is delicious.
Hong Kong Eatery,5,"unbelievable, like of the boat authentic italian cuisine..with an exceptional staff a must visit!!!!!!"
Tony's Pizza and Restaurant,5,translated by google great deputy !!originalgreat ph!!
Spagnuolo's Restaurant,4,good food
Uptowne Mediterranean Restaurant,5,nothing spectacular here. place is clean with a friendly staff
Lucy Ethiopian Cafe,3,rude front door staff some ghetto dude that reeked of weed told me that my friend and i couldnt come in. my money isnt good? will not come back. jillians is in the downhill anyways.
Clay Pot Cafe,3,amazing so happy to have fogra even though they were completely booked they squeeze me in for a quick bite of foie gras and vino much love and appreciation to this restaurant beautiful setting exceptional service highly recommended
Fin Point Oyster Bar + Grille,5,awesome slices and a decent scene
Rosticeria Cancun,4,"just left, and the night crew was on point. food was good, customer service good, a great ending to my night!"
Boston Pizza Company,4,"stunning episode in which we were chased outside by the gnomish server captain for a bad tip after he was exceptionally rude. alas. big city life. its all dehumanizing, as is this venue."
The Kitchen Café,5,very disappointed school kids yelling and handfighting and at no given time i saw the store manager come to tell them to keep the noise down it was too loud i was shock due to the location of this store i expected the place to be much calmer.
Compari's Banquet Facility,5,good bbq for the boston area. right near the childrens mesuem and the bcec
Pushcart Cafe & Pizzaria,4,"went for dinner on a sunday. they were out of several items, and nothing we ordered was exceptional. didnt seem worth the price given other nearby options."
Sprout Mediterranean Inspired Salads,5,this location is ok in terms of speed and accuracy.  they make mistakes but not all the time.  they arent super slow or super fast.  i havent had any issues with cleanliness either.  today we got big macs ordered special and they made it correctly.  no complaints here.   edit let me correct this. they did make a mistake smh. should have known my husbands big mac had no big mac sauce. like really?!!? so i had to turn around. park the car i originally went to the drive through for a reason hello and get a new sandwich...upon taking it out of the bag it was all disheveled.  gotta live mcdonalds. smh
Boston Market,1,the food is great bit get there early they run out of plantains fast
Little Caesars Pizza,5,"ok food, decor is seriously out of date and needs a refurb. the ros wine was served warm and the service was lacking... but the views are fantastic..."
异国他湘 Bubor cha cha,4,"luv da huge slices,just one will put yoo behind to da recliner to sleep!not bad of a place for brunches...."
Krazy Jakes,5,"karaoke on some nights, very friendly bartenders, my regular spot on friday nights!"
BLR by Shojo,5,"great beer selection. food was average had the cubano. we were ready to order another beer but the waiter brought the check out of nowhere after not asking us if we wanted anything else, thought that was odd."
Kantin,5,"mediocre food. 20 for beef lo mein, crab rangoons and spring rolls. hope it was an off night for them."
Angela's Cafe Eagle Hill,2,"crepes! thats all you need, really"
Bella’s Pizza,5,chicken kabob salad was great
Top of the Hub,5,"translated by google its delicious, but is it a little oily for japanese people?original"
CAVA,4,"panera offers decent food at a good price. gotta watch the calories on the sandwiches though. it may sound healthy, but those calories can creep up."
Burro Bar South End,5,"great, friendly ppl. service. superb quality and quantity for my money  !!!!"
Boston Chowda Co,5,"great food, always a great beer or two on tap"
Mumbai Spice,5,place is dirty. steak and cheese was below an acceptable standard.
